File Name,image00002
0.4721203,0.4800867,0.4832296,0.4852257,0.4869228,0.4917447,0.4923352,0.4966762,0.4985327,0.5013314,0.50164,0.5016868,0.5016981,0.5022286,0.502265,0.5035337,0.5039474,0.5047584,0.5063697,0.5065778,0.5071411,0.5076365,0.5079609,0.5079611,0.5084821,0.5086108,0.5096359,0.5096511,0.5097784,0.5099864,0.5110105,0.5112049,0.5114827,0.5121791,0.5122235,0.5122505,0.5123611,0.5130664,0.513326,0.5142378,0.5149544,0.5149635,0.5161334,0.5165885,0.5169801,0.5170279,0.5172548,0.5173357,0.5176052,0.5179386,0.5185621,0.5187032,0.5187918,0.5188179,0.5189589,0.519133,0.5192699,0.5192939,0.5194932,0.5200785,0.5201071,0.5201072,0.5207019,0.5208772,0.5214195,0.5219527,0.5223036,0.5230216,0.5234493,0.5240526,0.5245569,0.5246957,0.5247838,0.5250491,0.5251942,0.5257693,0.5264194,0.5279008,0.5285435,0.528572,0.5288323,0.5290787,0.5290977,0.5291827,0.529543,0.5298531,0.5299003,0.5299096,0.5300887,0.5301006,0.5302175,0.5302241,0.5302888,0.5304735,0.5305768,0.5313418,0.5316385,0.5317394,0.5317538,0.5322379,0.5322393,0.5323262,0.5323434,0.5325486,0.5327048,0.5330587,0.5332212,0.5334402,0.5334808,0.533538,0.5338097,0.533873,0.5339474,0.5339808,0.5341429,0.5345044,0.5345541,0.534593,0.5349821,0.5350668,0.5351686,0.5356147,0.5356834,0.535778,0.5358884,0.535898,0.5362674,0.536474,0.5366039,0.5369393,0.5374205,0.53759,0.5377874,0.538204,0.5385922,0.5388522,0.5388675,0.5391079,0.5394797,0.5394983,0.5395553,0.5395994,0.5396191,0.5396467,0.5399119,0.5401317,0.5401666,0.5403238,0.5404509,0.5407721,0.5408226,0.5409645,0.5411618,0.541204,0.541354,0.5416985,0.5420412,0.5421157,0.5421254,0.5424745,0.5425601,0.5426317,0.5428194,0.5429284,0.5431597,0.5431898,0.5432324,0.5432714,0.5432951,0.5433382,0.5438673,0.5439214,0.5442212,0.5444032,0.5446359,0.5446885,0.5449346,0.5449669,0.5451358,0.5451387,0.5452006,0.5455574,0.5460809,0.5465148,0.5465181,0.5466207,0.5466687,0.5468916,0.5469664,0.5469719,0.5471509,0.5472406,0.5473057,0.5475724,0.5475845,0.5476221,0.5478029,0.5478463,0.547888,0.5481386,0.548348,0.5483725,0.5485027,0.5485243,0.548798,0.5488328,0.5490142,0.5491872,0.5492449,0.549251,0.5492731,0.5494399,0.5495715,0.5496885,0.5499563,0.5500024,0.5501307,0.5503605,0.5504022,0.5504631,0.5504675,0.550481,0.5505211,0.5507949,0.5509313,0.5509777,0.5511022,0.5511193,0.5512031,0.5512305,0.5514457,0.5514666,0.5515466,0.5517795,0.5518044,0.5518427,0.5518521,0.5518841,0.5521504,0.552207,0.5523047,0.5523404,0.5523936,0.5525305,0.5526059,0.5527482,0.5527486,0.5531577,0.5532395,0.5533781,0.5534248,0.5534874,0.5535603,0.5536312,0.5536583,0.5538818

File Name,image00008
Mean,0.43108
91265,92217,55481,198673,197329,33249,63545,25633,153164,92216,55257,20537,93057,91264,4185,55313,19361,183552,187697,198674,122009,183553,170673,153165,122010,151241,155833,33250,161041,55314,62537,55258,69257,150961,170672,20536,6648,6649,203993,93056,25632,153163,69256,37673,55482,63544,150962,187696,70265,4184,65225,55480,197330,164737,93617,40025,205729,123296,123297,19362,118817,197328,204833,20145,203992,91266,212113,116857,62536,177281,156561,65057,87121,63546,25634,61193,118816,30113,207241,24793,41033,198672,205728,164736,113832,212112,151410,136848,136849,151242,151409,65056,33248,20538,52681,204832,93058,140041,92218,155832,55256,140040,170561,75417,155834,42601,24794,4186,161042,19360,40024,70266,80737,207016,113833,124361,37674,177282,30114,190497,61192,41032,207017,151240,161040,151539,38961,75416,55312,62593,142897,214801,93618,24008,20144,99272,152249,170562,160481,5137,124360,89248,153166,81689,37672,116856,116858,70264,65224,160480,150625,93616,27481,65226,207240,38308,211385,122011,12137,47641,187698,24009,166361,156562,87120,210656,190496,20146,189265,66792,87122,40026,82696,27929,80736,110976,154936,156560,52682,150626,155553,142896,62538,6257,27480,152250,200577,2560,66793,214800,99273,26584,86784,8105,94792,42208,170674,27928,52680,22795,38307,26585,69592,198675,42602,69258,132369,5136,122008,22793,53913,210657,8104,148104,83593,55315,42600,166360,13872,207129,148105,207242,85497,89249,110977,14059,203994,3905,151540,56264,177280,82697,178233,154433,151538,183554,40976,49936,47640,6650,55259,150963,207128,38962,69593,82025,140713,150960,81690,164738,118818,33081,62592,88465,33251,42209
0.2277796,0.2329648,0.2463575,0.2604954,0.2621812,0.2642038,0.2646068,0.2658449,0.2675819,0.2696837,0.2862519,0.2864338,0.2926193,0.2937757,0.2955549,0.3024973,0.3120002,0.3197768,0.3199348,0.3252955,0.329689,0.3299175,0.3308868,0.3321007,0.3325017,0.3328314,0.3356615,0.3369878,0.3399946,0.3432754,0.3451864,0.3454326,0.3458473,0.3461715,0.3529943,0.3532275,0.3552358,0.3559893,0.3565085,0.3572621,0.3589504,0.3594577,0.3635331,0.3640031,0.3648223,0.3659684,0.3675959,0.3697744,0.3701307,0.3732938,0.3757779,0.376659,0.3771235,0.3771759,0.3775995,0.3788394,0.3789197,0.3798569,0.3806349,0.3808816,0.3838387,0.3842149,0.3860491,0.3866015,0.386874,0.388233,0.3888917,0.3903493,0.3913813,0.3936009,0.3938726,0.3941467,0.3946725,0.3971717,0.3986589,0.3999612,0.4011169,0.4023468,0.406328,0.4068995,0.407933,0.4083591,0.4085675,0.4085997,0.4088231,0.4093062,0.409768,0.411292,0.4119121,0.4122593,0.4126071,0.4128099,0.4136641,0.4141049,0.4151777,0.4153278,0.4168893,0.4205581,0.4208214,0.4209127,0.4225948,0.4236079,0.4239245,0.4242633,0.4244555,0.4251662,0.4272982,0.4273578,0.427796,0.431606,0.4319257,0.4351595,0.4372513,0.4382856,0.4385786,0.4396428,0.4397022,0.4398225,0.4400743,0.4401062,0.4406244,0.4428645,0.4438373,0.4451885,0.4452893,0.4463978,0.4469835,0.4488203,0.4489951,0.4501253,0.4502616,0.4511625,0.4539352,0.454358,0.4545048,0.4563024,0.4563777,0.4565091,0.4571247,0.4579501,0.4579831,0.4581387,0.4588315,0.4593723,0.4596574,0.461677,0.4627857,0.4631732,0.4632648,0.4632745,0.4633125,0.463326,0.4635529,0.4645673,0.4645983,0.4648793,0.4649813,0.4658078,0.465963,0.4665314,0.4672762,0.4684427,0.4689072,0.4708911,0.4711275,0.4715404,0.4716315,0.4717511,0.4724196,0.4727634,0.474074,0.4757799,0.4762661,0.4771573,0.4771895,0.4775937,0.4778179,0.4780415,0.4783531,0.4785122,0.4787377,0.4798724,0.483602,0.4842385,0.4846525,0.4846697,0.4847018,0.4853331,0.4854749,0.485745,0.4867525,0.4868151,0.4871672,0.4873972,0.4882543,0.489045,0.4898086,0.4902075,0.4903974,0.4926174,0.4926241,0.4929236,0.4941586,0.4942079,0.4943931,0.4945874,0.4948473,0.4950727,0.4951592,0.4957207,0.4957262,0.4958787,0.4972005,0.4972859,0.4978049,0.4986785,0.4988863,0.5001966,0.5007381,0.5014644,0.5021563,0.5021893,0.5031001,0.5031955,0.5031998,0.5032611,0.5040941,0.5046215,0.5048841,0.5049383,0.5064241,0.5064731,0.5066032,0.5069901,0.5070519,0.5071321,0.5073608,0.5075088,0.507656,0.5085054,0.5088066,0.5089487,0.5092899,0.5095658,0.5095795,0.5101486,0.510661,0.5110089,0.5110397,0.5118637,0.5128905,0.5140281,0.5141512,0.5143526,0.5148164,0.5149815

File Name,image00010
Mean,0.94071
126551,42888,177679,107287,98999,126552,42887,177680,188599,99000,115407,130303,172864,85839,159143,107286,96927,172863,96591,15951,115408,206799,96592,139263,96928,137191,85838,159144,206800,130304,6542,164296,107288,15952,126550,6039,185519,188600,59351,137192,182999,130919,164295,49271,87799,7663,42889,86735,188598,100791,49272,38015,109584,73071,177678,210495,125207,138311,92839,109583,137303,75479,185520,139264,37903,24183,164239,98998,56103,73072,87798,172865,188487,7664,6040,207471,113448,43279,177176,84943,59350,111655,85840,130920,15783,156119,212959,130302,138368,125208,158192,138312,177175,1559,6543,31407,72903,50951,31408,43280,110535,213631,117927,212400,168719,106616,149231,115406,113447,61760,176728,183000,213632,212399,211615,111656,48879,124815,106615,176727,131031,34040,159142,139262,210496,4472,142399,212231,211616,34039,110536,38016,6541,149232,100792,60695,213519,134726,94799,10071,102807,158191,183335,132655,188486,213520,163455,25807,84944,177681,152199,24182,25808,75480,56104,207472,61759,96590,76151,176839,126553,96926,117928,161215,115239,99001,94800,86734,172862,42886,37902,168720,209263,17519,156120,209264,43055,163456,50952,182998,79231,193135,107343,138367,164240,164575,147272,162615,147271,208143,13040,59352,4303,164297,86736,134727,212960,15784,137304,106783,57111,71951,129743,65343,129744,208647,92840,210775,124816,13039,15950,96593,137302,76152,100790,195040,206798,130918,60696,73408,48878,185295,131030,152200,204783,161216,118375,38014,6038,115240,73407,208144,154215,185518,106784,195039,178351,96929,198176,201143,33535,4471,132656,17520,137190,190951,206801,174823,136575,37904,192295,201144,72904,1558,87800,165079
